"Origin","DepartureDelay","ArriveDelay"
ORD,12266947,14450290
DFW,8324025,9681968
ATL,7865195,9067350
LAX,6317802,6862217
PHX,6212698,6553216
DTW,4871461,5703680
DEN,4756028,5486925
LAS,4639561,4847836
STL,4349345,5111779
SFO,4154174,4551722
PHL,4049798,5075601
MSP,3955855,5117422
BOS,3763586,4450243
EWR,3456885,4604546
SEA,3321003,3660065
CLT,3267538,3817358
LGA,3265677,4184410
BWI,3022157,3250698
IAH,3018284,3970949
MCO,2651472,2946764
PIT,2567333,3148232
MIA,2350757,2640840
SAN,2166262,2390305
SLC,1981895,2280975
JFK,1928858,2374795
HOU,1903179,1854962
OAK,1896575,1898811
SJC,1867239,2068336
TPA,1827145,2007939
IAD,1807066,2166927
MDW,1804686,1879481
CVG,1753228,2170551
FLL,1691513,1851016
MCI,1468398,1653533
DCA,1460977,2003856
PDX,1443155,1573914
MEM,1374934,1607698
DAL,1366459,1462245
BNA,1339408,1453790
MSY,1245668,1391394
CLE,1227291,1568642
SMF,1155221,1197588
SNA,1072061,1276284
RDU,1068209,1236670
ABQ,945367,963013
AUS,939715,1028960
CMH,927029,1120544
IND,915247,1107380
ONT,897274,953996
BDL,873258,1120879
SAT,855322,958237
BUR,785455,856258
RNO,781299,841761
SJU,734314,853534
PBI,686433,784554
PVD,685397,826216
ANC,643006,714189
JAX,612304,688212
ELP,533458,559863
OKC,506289,562946
BUF,499894,600429
SDF,495469,577741
TUL,495385,555023
OMA,472318,531425
TUS,440815,491155
HNL,440704,515846
ORF,429600,520478
BHM,425856,462230
MHT,413915,476802
RIC,410111,501994
RSW,402608,471736
ROC,379816,462219
ALB,363461,440071
GSO,336705,416124
LIT,321948,355204
MKE,321588,416487
BOI,305345,324891
GEG,303826,337604
COS,247126,306895
DAY,245809,321338
ISP,237897,258631
GRR,236297,279877
PWM,226031,272145
SYR,223186,293515
JAN,203152,225864
DSM,200414,235648
OGG,193492,218947
JNU,190030,199131
HPN,183499,239264
PSP,180588,200904
LBB,166119,174282
MDT,153364,187038
ICT,144539,178266
GSP,143337,172459
FAI,138837,155018
MAF,137860,149513
AMA,134174,145881
TYS,124808,150731
HRL,123702,119260
XNA,123340,138992
MSN,122202,144605
CID,122140,153461
SAV,121255,142584
CRP,116548,123670
ABE,111757,135619
SBA,108880,122012
BTR,106273,123205
CHS,105306,133190
BTV,103975,125544
SRQ,96974,116671
PNS,96629,113256
SHV,96259,111923
HSV,89636,113936
BGR,89146,93393
KOA,88207,106459
MOB,83265,92467
KTN,82110,90759
GRB,74447,89339
STT,72210,89286
EUG,70696,77940
LEX,69148,59707
LGB,68987,88940
CAE,67502,79204
MFE,66918,77492
SGF,66159,88017
BIL,62999,72012
MBS,58844,73679
MFR,56157,61312
TVC,54602,65977
GTF,54228,39580
FAT,52626,64919
LIH,51603,58169
EGE,49793,60660
FWA,49472,58039
FSD,48398,59620
RST,47742,62716
DAB,46457,59189
JAC,45911,51354
OTZ,45521,43210
LNK,45118,51490
OME,45090,44267
FCA,43597,30424
TLH,43354,49342
SIT,40626,41680
DLH,39653,46503
TOL,39232,45100
BET,38864,39412
LAN,38371,49891
PSG,37655,35967
MYR,37254,48379
ILE,36896,41796
AZO,36573,46431
EVV,36526,41954
MSO,36158,41505
VPS,35984,45370
MLI,35065,42253
SBP,34094,44071
YAK,34082,34050
CDV,33411,35340
MLB,32751,42191
MRY,32732,43657
BZN,32726,41395
SWF,32714,44389
CMI,32646,40975
WRG,32640,31982
HDN,30720,34940
FAR,30466,37143
LSE,30328,38065
MLU,28947,29662
EYW,28805,38952
BRW,28743,26702
DUT,27573,26032
PIA,27276,31581
LRD,27177,32725
ABI,23820,29625
TYR,23751,31694
ILM,23073,32000
RAP,22492,26495
ROA,22016,28114
BMI,21635,23990
MOT,21547,23533
AVP,21546,29340
CHA,20763,25787
DBQ,20658,24831
FSM,20567,28714
ADQ,20414,21808
ITO,20404,24971
SPS,20208,23879
ACT,20173,25777
LFT,19864,24379
SBN,19350,24736
LAW,18983,24618
PSC,18895,21657
CLL,18556,23957
BIS,18387,21373
FNT,17182,23563
STX,17058,24173
GFK,14427,17141
BFL,14341,17611
SCC,13858,13876
GPT,13363,16827
CAK,12935,16561
SJT,12586,18591
HLN,12585,13129
DLG,12525,12259
ORH,12295,14356
BPT,12029,14753
ERI,11943,15620
CRW,11412,13624
ELM,10840,14047
AKN,10767,10537
GGG,10721,13046
AVL,10272,19898
ITH,9335,14106
BGM,8819,14114
MGM,8405,9401
TXK,8265,11455
FAY,7336,10075
GUC,6480,7975
MQT,5702,7701
TRI,5432,8307
AGS,5179,5565
SUX,4877,5556
MTJ,4802,6676
DRO,4226,5304
GST,2322,2603
BRO,2207,2714
APF,2035,3396
BQN,1260,2054
MAZ,1089,1364
LWB,895,1144
MIB,464,401
RDR,221,270
ACY,106,98
