"Origin","  ","Total2000","Total2001","Total2002"
LAX,LAS,17745,16165,12733
LAS,LAX,16899,15788,12526
MSP,ORD,12979,12419,12007
ORD,MSP,12993,12361,11907
BOS,LGA,8647,11087,11539
LGA,BOS,8652,11085,11537
LAS,PHX,13346,12668,11143
PHX,LAS,12906,12418,11091
PHX,LAX,17041,14515,11066
LAX,PHX,16652,14149,11027
LGA,DCA,8289,10546,10955
DCA,LGA,8282,10561,10948
ORD,LGA,10876,11088,10639
HOU,DAL,11999,11658,10612
LGA,ORD,11531,11386,10566
EWR,ORD,12159,11053,10278
ORD,EWR,11851,10736,10126
ORD,PHL,10531,9805,10109
SFO,LAX,15967,13260,10047
PHL,ORD,10502,9804,9954
LAX,SFO,16021,13244,9832
ORD,LAX,11002,9907,9799
LAX,ORD,10986,10072,9735
OAK,LAX,11944,11295,9713
LAX,OAK,11861,11329,9685
DAL,HOU,10978,10574,9507
ORD,DFW,11361,10181,9262
DFW,ORD,10466,10225,9000
SAN,LAX,2573,12820,8961
LAX,SAN,2575,12806,8956
ORD,ATL,9884,9387,8774
ATL,ORD,9919,9364,8534
ORD,DTW,8192,8199,8482
ATL,DFW,9820,8913,8377
ORD,BOS,9522,8760,8222
DTW,ORD,8055,7945,8214
BOS,ORD,9857,9035,8160
ORD,DCA,8796,7816,7917
DCA,ORD,9107,7816,7916
DEN,ORD,8148,8468,7876
DFW,ATL,9780,8882,7753
ORD,DEN,7537,7749,7620
SAN,PHX,7883,7941,7598
PHX,SAN,8066,8154,7571
SFO,ORD,6901,7065,7405
LAX,SJC,10911,10788,7365
SJC,LAX,10861,10668,7349
BOS,PHL,6117,8035,7316
ORD,SFO,7142,7526,7250
PHL,BOS,5741,7667,7150
ABQ,PHX,6911,6801,7002
JFK,LAX,9277,8235,6909
SEA,LAX,8646,7925,6907
LAX,JFK,9271,8234,6906
DFW,DEN,8380,7883,6854
LAX,SEA,8307,7668,6851
HOU,MSY,7252,7332,6845
MSY,HOU,7257,7327,6824
SFO,SEA,8333,7546,6800
BOS,DCA,7497,8757,6757
DCA,BOS,7499,8758,6740
ATL,EWR,8910,7812,6702
EWR,ATL,8872,7808,6698
PHX,ONT,7534,7193,6674
ONT,PHX,7526,7178,6665
PHX,ABQ,6457,6413,6660
PIT,ORD,4531,6516,6592
SEA,ANC,6889,6671,6541
IAH,ORD,6517,6387,6519
ORD,IAH,6513,6356,6489
DEN,DFW,8033,7517,6488
ANC,SEA,6898,6669,6448
ORD,PIT,4557,6502,6433
SEA,SFO,8331,7552,6428
LAX,DFW,8340,7559,6351
PHL,ATL,8113,7153,6257
DFW,LAX,8070,7199,6252
IAH,DFW,7609,7317,6196
DFW,IAH,7605,7345,6196
DFW,PHX,7035,6538,6135
STL,ORD,7015,6869,6101
ORD,STL,7007,6856,6036
ORD,PHX,6306,5694,5971
ORD,CVG,4844,5884,5963
CVG,ORD,4850,5878,5935
ATL,PHL,7579,6532,5895
PHX,ORD,6304,5663,5873
MSP,DTW,5058,5240,5822
PHX,DFW,6670,6186,5775
ORD,CMH,2081,5040,5767
EWR,BOS,5139,7020,5759
ATL,LGA,7191,7369,5722
IND,ORD,2657,5741,5719
BOS,EWR,5139,6799,5711
LGA,ATL,7169,7343,5709
CMH,ORD,2075,5039,5700
ORD,IND,2653,5735,5624
DTW,STL,6158,6114,5602
STL,DTW,6150,6097,5601
PHX,DEN,6420,6144,5550
ORD,CLE,2989,6047,5523
CLE,ORD,2972,5990,5506
DEN,PHX,6423,6082,5460
MDW,MCI,6139,5997,5455
MCI,STL,6106,5999,5449
PHX,SEA,5433,5467,5427
MCI,MDW,6105,5964,5417
ATL,DTW,5732,5744,5395
SEA,ORD,4510,4741,5354
STL,MCI,6085,6018,5326
LGA,DFW,6653,6169,5309
DFW,LGA,6645,6165,5305
DTW,MDW,5657,5573,5301
SAN,OAK,3847,5005,5236
DTW,ATL,5732,5762,5235
OAK,SAN,3795,5037,5187
ORD,CLT,4392,5129,5186
SJC,SAN,5253,5221,5184
CLT,ORD,4534,5174,5180
SAN,SJC,5231,5210,5148
PHX,SJC,4507,5158,5145
DCA,ATL,5899,5827,5115
MDW,DTW,5630,5483,5064
DFW,MSP,5099,4938,5063
DFW,LAS,3972,4039,5063
SEA,PHX,5065,5104,5059
LAS,DFW,3968,4035,5058
MSP,DFW,5138,4957,5045
DTW,MSP,5076,5401,5043
ATL,MIA,6214,5835,5040
DAL,SAT,5017,4972,5039
SAT,DFW,6503,5515,5036
ORD,SEA,4785,4792,5031
LAS,ORD,4217,4706,5024
OAK,SEA,5274,5173,4984
ORD,LAS,4209,4703,4978
SEA,OAK,5212,5133,4969
SAT,DAL,4971,4944,4961
SJC,SNA,5450,5135,4948
IAD,ORD,3227,3928,4947
SNA,SJC,5435,5110,4941
SAN,LAS,5447,5619,4937
STL,PHX,5184,5400,4928
DFW,AUS,6140,5741,4925
AUS,DFW,6145,5735,4920
SLC,LAX,5192,5730,4881
LAS,SAN,5102,5364,4872
GEG,SEA,4645,4789,4853
SEA,GEG,4666,4785,4846
MSP,DEN,5382,5089,4834
ORD,IAD,3477,3770,4818
LAX,DEN,5767,5792,4800
OAK,BUR,5124,5083,4792
SJC,PHX,4147,4778,4786
JFK,SFO,5930,5843,4778
SFO,JFK,5929,5845,4778
BUR,OAK,5152,5071,4770
