"TimeHour","FlightsOnTime","FlightTotal","PercentageOnTime"
5,135470,185749,72.9318
4,1045,1491,70.0872
6,646237,1051197,61.4763
7,612984,1088522,56.3134
8,576128,1106059,52.0884
9,525634,1047992,50.1563
10,466795,948457,49.2163
11,494251,1043719,47.3548
12,468311,1019817,45.9211
13,472016,1049797,44.9626
14,422665,972102,43.4795
15,418486,1005486,41.6203
18,401898,973358,41.2898
16,390481,947937,41.1927
20,325406,795097,40.9266
17,452307,1129021,40.0619
19,348978,913687,38.1945
21,208046,561234,37.0694
22,132107,365046,36.1891
1,11036,30643,36.0148
0,18725,61055,30.6691
23,39686,134100,29.5943
3,277,1257,22.0366
2,1015,5532,18.3478
